timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624858918179,300,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-974,text,true,,265,128,74,74,http://localhost/api/Values/Get,300,0,1
1624858918163,316,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-976,text,true,,265,128,74,74,http://localhost/api/Values/Get,316,0,1
1624858918179,315,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-975,text,true,,265,128,75,75,http://localhost/api/Values/Get,315,0,1
1624858918179,316,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-971,text,true,,265,128,75,75,http://localhost/api/Values/Get,315,0,1
1624858918168,327,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-942,text,true,,265,128,75,75,http://localhost/api/Values/Get,327,0,1
1624858918179,332,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-955,text,true,,265,128,76,76,http://localhost/api/Values/Get,332,0,1
1624858918181,332,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-973,text,true,,265,128,76,76,http://localhost/api/Values/Get,332,0,1
1624858918188,327,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-941,text,true,,265,128,76,76,http://localhost/api/Values/Get,327,0,1
1624858918208,319,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-940,text,true,,265,128,76,76,http://localhost/api/Values/Get,319,0,1
1624858918195,332,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-972,text,true,,265,128,76,76,http://localhost/api/Values/Get,332,0,0
1624858918195,338,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-954,text,true,,265,128,77,77,http://localhost/api/Values/Get,338,0,0
1624858918213,343,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-969,text,true,,265,128,78,78,http://localhost/api/Values/Get,343,0,1
1624858918211,345,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-970,text,true,,265,128,78,78,http://localhost/api/Values/Get,345,0,0
1624858918211,346,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-953,text,true,,265,128,78,78,http://localhost/api/Values/Get,346,0,0
1624858918213,359,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-968,text,true,,265,128,79,79,http://localhost/api/Values/Get,359,0,1
1624858918227,345,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-965,text,true,,265,128,79,79,http://localhost/api/Values/Get,345,0,0
1624858918227,345,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-967,text,true,,265,128,79,79,http://localhost/api/Values/Get,345,0,0
